Begin Trip Lat,Begin Trip Lng,Dropoff Lat,Dropoff Lng
40.76414,-73.98078,40.71274,-74.03374
40.68782,-74.18196,40.75599,-73.98087
40.0885341,-88.2383686,40.1127021,-88.2258004
40.11276299,-88.22725701,40.06754033,-88.23986756
40.1127519,-88.2274398,40.0675842,-88.2398576
40.11275849,-88.22761134,40.06757315,-88.24008297
40.1127368,-88.2272861,40.0675881,-88.2399639
40.11276137,-88.22716277,40.07349002,-88.2508217
40.11025744,-88.23307897,40.06758518,-88.23986974
40.1104854,-88.2278345,40.0734882,-88.2509323
40.1097477,-88.2289874,40.067587,-88.2400203
40.11276236,-88.22731306,40.06754863,-88.23991911
41.8758635,-87.6262121,41.898423,-87.6231138
40.0679911,-88.2387739,40.1299553,-88.2208877
40.10908122,-88.23226127,40.10908261,-88.23218986
40.11276255,-88.22729799,40.06755643,-88.23998633
40.1034564,-88.2303772,40.0675026,-88.2387156
40.1128219,-88.2254048,40.0679921,-88.2388257
40.0679142,-88.2387468,40.1127057,-88.2261514
40.10951168,-88.22889326,40.06742945,-88.23970265
40.06791145,-88.23872837,40.10963563,-88.22889702
40.1005262,-88.2265196,40.0675415,-88.2387459
40.0679793,-88.2387489,40.1069349,-88.2254938
38.5998205,-90.214095,38.6241612,-90.2039775
38.6100462,-90.2276923,38.5994365,-90.214295
38.6366341,-90.292441,38.6100424,-90.2276639
38.6401343,-90.2621683,38.6391062,-90.293695
38.61002665,-90.22778794,38.64192633,-90.25507707
38.6324789,-90.1996042,38.6102134,-90.2278652
38.6100304,-90.22772737,38.62367023,-90.18763707
40.0679782,-88.2386695,40.1047274,-88.2238499
40.0679971,-88.2387933,40.1005819,-88.226386
25.7776019,-80.2035877,25.8960695,-80.3248537
25.7781364,-80.1876246,25.7717829,-80.228054
25.7278467,-80.2450467,25.7770333,-80.18428
25.7453303,-80.2116083,25.727777,-80.2448433
25.79386956,-80.25332862,25.74539957,-80.21122313
25.7799922,-80.1317859,25.7938435,-80.2555718
28.41988112,-81.47637671,28.54768333,-81.41331428
28.4735525,-81.4634773,28.4198326,-81.476471
28.4201502,-81.4768074,28.4738646,-81.4630203
28.4404705,-81.4760182,28.419797,-81.4764229
28.4744631,-81.45072246,28.44062246,-81.47588139
28.4203155,-81.4764487,28.4726052,-81.4542263
41.7916421,-87.5832503,41.866585,-87.6143496
47.59919,-122.30694,47.61243,-122.33476
47.6178189,-122.3302938,47.5988099,-122.3070444
47.580358,-122.4072564,47.6179372,-122.3304679
47.6225147,-122.2015486,47.6176533,-122.3302624
47.66405,-122.31309,47.61802,-122.33061
47.61789,-122.33036,47.59669,-122.32248
40.11686,-88.22404,40.10903,-88.22114
40.10908,-88.22127,40.11713,-88.22406
29.9511247,-90.0657511,29.9516744,-90.068524
29.99692,-90.05936,29.99528264,-90.059593
40.71511,-74.01598,40.69482,-74.17703
40.75147,-73.994,40.71524,-74.01584
40.75429,-73.99566,40.75339,-73.99631
40.1172,-88.22406,40.10908,-88.22113
40.1170741,-88.2240076,40.1381476,-88.1958988
40.14716246,-88.2556255,40.11714175,-88.22354884
40.1383821,-88.1958448,40.1468161,-88.2555999
40.116777,-88.2043532,40.1381981,-88.1958458
40.0364789,-88.2636024,40.1166952,-88.2220073
41.95597511,-87.8828625,41.88551628,-87.61894714
40.42318157,-86.900727,40.42488708,-86.9233627
40.42530334,-86.92244796,40.42318529,-86.90103464
40.42355218,-86.85247198,40.4248735,-86.9233627
40.42391954,-86.90755173,40.42355095,-86.85262416
43.64364651,-79.35161831,43.65152777,-79.37888966
43.66236924,-79.38248162,43.64366169,-79.35167363
43.6456193,-79.3874482,43.6625096,-79.3825347
43.6524041,-79.3804116,43.6524421,-79.3800708
41.78919221,-87.74098665,41.66120143,-87.75664413
41.8937111,-87.6151216,41.8916595,-87.6340187
41.89350369,-87.61533092,41.89112696,-87.63110141
41.88396774,-87.64272766,41.8936184,-87.61517722
41.97675205,-87.9042145,41.88398963,-87.64272821
41.97692597,-87.87630231,41.97634132,-87.87700624
40.644801,-73.78186033,40.77046819,-73.87014139
40.72843836,-73.9817939,40.64395489,-73.78299549
40.4222064,-86.8986533,40.4248395,-86.9234136
40.41663095,-86.8778612,40.41723024,-86.87546845
40.4249529,-86.9245559,40.4249529,-86.9245559
40.4249529,-86.9245559,40.4249529,-86.9245559
